u.name,u.funny,u.fans
Jim,10,0
Jared,3,0
Jonny,1,1
Ber,3,5
Steph,0,0
Leah,16,7
Maria,78,10
Jiyin,1,0
Li,142,6
Joy,4,6
Barbara,1368,124
Wincy,26,10
Rabail,4,4
Ivana,5,2
Dennis,3,0
Bianca,5,0
Nicholas,66,8
Jermaine,26,4
Isabella,5,0
Jean-Louis,4,4
Amy,14,2
Haytung M,85,8
Sophie,26,3
Stephanie,30,4
Mark,73,1
David,162,32
Christina,1,0
Melissa,8,1
Saba,11,8
Fern,482,44
Food Sno,6,0
Nal,4,0
Brandy,2,1
Deedee,96,1
Laura C,1459,103
Noor,22,13
Vik,1,1
Stephanie,1046,184
Steven,0,0
Kimberley,443,46
James,0,0
Mina,19,0
Christine,139,7
Jannies,226,33
Mary,795,34
Preston,4,3
Mattnara,29,3
Sally,2595,164
David,61,3
Some,2,0
Tony,55,8
Steve,1,0
Brandon,21,1
Percy,2,0
Tina,77,14
Carolyn,18,7
David,414,15
Robert,78,8
Karmen,109,10
Abid,16,0
Jessica,4,3
Alex,31,3
Paul,11,2
Ernesto,20,0
Michelle,122,10
Tia,23,1
Carmen,47,9
Ada,476,80
Food,68,1
Angela,140,12
Mike,18,3
Fanny,6,3
Thao,124,54
Soleil,18286,278
Yentl,37,11
Lakshmi,85,1
Adrian,23,2
Wendy,428,33
Matthew,1,0
lula,0,0
Michelle,27,2
Dale,9,1
Charlini,0,0
Laura,5,2
Josephine,60,1
Jen,33,6
Christophe,4,0
Gee,2,0
J,1,0
Lina,29,3
Alice,36,8
Allreal,2,0
Vanessa,49,6
Tammi,0,0
Sharon,46,18
Kin,26,5
Derek,79,5
Jen,21,3
Jennifer,32,3
Tracy,18,7
Jocelyn,36,6
Anastasia,86,9
David,22,1
David,209,54
Chris,2,0
Steve,7,0
Linda,3,1
Jin,6,1
Sherry,6,1
John,73,5
Kylie,23,2
Abby,575,95
Alicia,11,0
Paul,118,5
Emma,4,0
Mike,51,2
JAM,33,0
Matt,30,8
Ann,47,5
Mike,1,0
David,28,3
Dion,242,21
Kai,64,4
Diana,6,3
Jackie,8,0
Beverly,25,1
Paula,14,1
Gideon,14,3
Faye,26,4
I. M.,10,0
Gary,26,2
Tracy,15,3
Michael,30,4
Lauren,14,0
Mary,114,7
Faith,607,93
Sarani,7,0
K,20,2
Le,3,0
Melissa,4,1
Harry,26,0
Kathy,65,6
Michael,47,6
Jessica,2,0
Gillian,19,5
David,65,7
Andrew,88,3
Avi,83,6
Nancy,213,50
Kellie,189,31
Qg,0,0
Michelle,54,26
Octavio,8,1
Chris,14,0
Will,24,1
Coco,6,0
jacqui,130,12
Jennifer,91,30
Fifi,19,4
Belle,81,22
Patrick,245,14
Oana,6,2
Stephanie,2,0
Kenzie,3,0
John,16,2
Kelley,1,0
Foodie,1,1
Tracey,12,3
Alejandra,0,0
Amanda,61,9
Maria,2,0
Jacqueline,115,15
Bonnie,19,3
Nick,10,1
Cat,62,10
Nycole,78,4
Paul,1,0
Amanda,165,13
Margo,2,0
Chris,5,0
Jonathan,278,28
Sabrina,2,1
Justin,23,0
Michele,446,45
Ken,12,0
Alex,41,6
Deborah,3,0
Tony,0,0
Jason,522,61
Manila,1,5
Christi,278,61
Swaz,4,1
J,2,0
Krü,29,2
Simon,5,1
Lucinda,1,0
Paul,20,0
Caroline,2,0
Lori,307,28
Peggy,403,29
Niccola',5,0
S,56,2
Mellissa,5,0
Kelli,3,1
Luke,721,78
Danny,1,0
Nicholas,4,2
Andrew,10,0
Grace,174,23
Julie,4,4
Rena,9,3
Cindi,7,1
Lisa,313,31
Dan,6,1
Joe,1,0
Bilal,468,69
Matthew,16,2
Jaime,11,2
Kim,7,1
K,11,0
Paul,5,0
Karen,1,0
Morgan,2830,133
Laura,1,0
Anthony,2,2
Briana,18,2
Leslie,2,0
Tryout,4,0
Courtney,2,3
KC,26,0
Stefanie,8,0
Amy,17,6
Tom,9,0
Michael,33,4
Lonnie,75,8
Holly,1,0
Kiley,1,6
Anthony,28,3
Aimee,283,43
Scott,36,2
Perry,228,17
Tene,0,0
Amanda,10,3
Nicholas,721,26
Jorden,1,0
Julia,1536,92
Jeremy,1,0
Liz,10,0
Deron,15,2
Erick,185,29
Marissa,44,5
Molly,13,0
Annamaria-Guarneri,185,8
The,15,1
Ron,60,12
David,11,0
Billy,44,5
Kenny,529,43
Robert,2,0
V,4,0
Kevin,5,1
Conrad,4625,222
Tim,31,5
Jessica,14,2
Amelia,3,0
Adam,3,0
Zach,23,5
Judy,4,1
Cathy,24,2
Katie,58,20
G,0,0
Jenn,83,13
John,41,12
Kristen,7,4
Helene,93,18
Jennifer,8823,715
P,0,0
Steph,9,1
Vanessa,1,0
G,2,0
Wanda,0,0
Christine,13,2
Michelle,13,0
Karl,5,1
Nick,132,3
BJ,1,0
EJay,164,16
Karen,27,7
Michael,96,21
Girl,259,8
Jason,216,14
Kyle,93,8
Ron,25,0
Joseph,480,17
Bebe,42,0
Megan,35,9
Mike,118,9
Melanie,139,15
Darnelle,154,32
Arnie,3,0
Cassandra,29,4
Roger,3,1
Peter,142,16
Gloria,105,19
Samantha,2103,155
Brittany,30,11
Sing,353,23
Fran,7,0
Emily,86,19
Steve,10,2
Crysta,59,24
N,16,0
Fred,9,1
Walt,35,2
Sal,0,0
Amanda,3,0
Dawn,7,0
Michael,50,3
Jenna,0,0
Lisa,9,0
Delilah,83,5
Marisol,2,0
Rachel,2,0
Dan,320,34
Tasha,13,0
Jay,0,0
Nivek,4,0
Connie,11,4
Melanie,27,5
Skip,8,0
S,11,0
Anna,43,2
Tara,128,20
Robyn,11,2
Susanne,445,18
Michelle,111,11
Ashley,10,1
Elizabeth,4,0
Sergey,175,10
Nisha,1,0
Lindsay,369,15
Willie,30,0
Steve,1107,44
Jenny,7332,266
Kevin,13,0
Ashley,166,11
Roman,1,1
Albert,801,137
Cassandra,2342,111
Kevin,11,4
Penny,97,12
Chuck,2,0
Donald,3,0
Brittney,5,1
Tyler,396,23
Micah,99,9
Kendra,6,1
Raymond,105,11
David,290,5
Richard,201,27
Steve,2,0
Solongo,763,70
Savanna,6390,274
Sonya,14,4
Jamie,80,9
C,2,1
Lindsey,3,0
Merisenda,136,12
Charla,2,0
Vanessa,1127,44
Elizabeth,15,0
Julie,0,0
Katie,10,1
Krystal,60,15
Michelle,1051,187
Kelly,71,8
Chris,5,0
Doc,11,2
Darlene,1,0
Shena,3,0
keisha,2,1
Julia,12,14
Caitie,9,3
Kelly,18,8
Andrea,17,19
Jason,549,54
Arlene,3357,112
Al,13,0
Ashley,17,17
Cathy,294,43
B,1,0
Isabella,16,6
Karli,3,2
Claudia,3,0
Angie,2,1
Kevin,0,0
Michael,4,0
Truly,39,2
J,2,1
Adam,5,0
Jason,2,0
Cindy,143,3
Gabriel,0,3
Robbyn,10,2
Jon,5,0
Stamone,160,13
Gabriela,56,6
Charlotte,2,1
jillian,91,21
Pam,2,0
Tess,3,1
James,206,16
Joe,0,1
Sergio,0,2
Brittany Renee,8,5
Yvonne,2,1
Scott,3,0
Angie,14,1
Ivonne,14,2
James,47,3
Nancy,2,1
Amy,125,12
Kathryn,139,14
Maganda,57,9
Patrick,3,0
Frank,0,1
Kristina,5,2
Paige,2,0
Noah,6,1
Sonia,17,1
Kuuipo,0,0
Frub,5,1
Jeanette,3,1
James,39,6
BrittanyAnn,1,0
Gabey,16,0
Bianca,15,1
Charlotte,29,6
Mrs.,113,5
Robert,56,0
Lorraine,1,1
Miri,2,1
Chantelle,77,7
L.,54,3
Michael,10209,912
Scott,2,2
Trish,29,2
Donna,0,0
Joy,0,1
mike,8,1
Brittany,2,0
Pauline,167,1
Mal,13,4
Lauren,25,13
Jazmin,6,1
Grant,0,0
Sylvia,843,46
Clovis,11,5
Stephanie,2,0
Dawn,0,0
Chely,3,0
Trish,17,1
Andrea,361,8
M,32,2
Ben,10,1
Mindy,375,44
frank,0,0
Angela,2,0
Michael,13,1
Melissa,98,15
Arturo,10,2
Carl,46,2
Katherine,853,126
Jennifer,5,0
Jacob,13,2
Jennifer,35,1
Petra,0,0
Jessica,53,5
Rick,2,0
Carol,314,63
Lilibeth.,1,0
Lori,1,0
Annmarie,30,6
Rose,0,0
Kenneth,3,1
Summer,3,0
Jason,8,4
Amanda,13,2
Karen,43,7
Chelsea,150,38
Jasten,134,9
Paul,2751,49
Craig,3,0
Niya,0,0
John,2,2
Brian,1,2
Michelle,1,0
Daniel,32,7
Yvonne,17,1
Lawrence,481,39
Rebecca,6,1
Katie,0,0
Jany,0,0
Doug,0,0
Ivette,0,0
Joe,59,4
Kelly,1,0
Jared,5,1
Nelson,6544,378
Raymundo,1,0
Dee,7,0
Karen,7,1
Robert,15,8
Kamil,9,0
Jo-Anne,78,43
Julie,92,17
Max,241,8
Joanne,250,61
Hazel,378,135
C,1,5
Lilian,85,14
Canadian,2,0
kai,64,2
Alan,146,10
Stephen,28,18
Eric,6,3
Zack,90,9
C,72,1
A,6,0
Stefan,10,1
Anna,416,67
Susie,46,0
Tami,3,0
Mabel,2,0
Sarah,0,0
Mo,5,0
Georgia,4,1
Zohar,34,0
Bob,2,0
Kalee,0,0
Jen,8,1
Josephine,1,0
Julie,5,0
Tina,5,0
Jeff,159,10
Dennis,2989,121
Bel,0,3
Craig,2,0
Nanette,9,0
Evelyn,4716,478
Isabel,107,5
Ifhtia,2,0
